dispersal,wattage,date,week,metacommunity,tank,temp_mean,acari,calanoida,chaoborus,chironomidae,cyclopoida,daphnia,diaphanosoma,ostracoda,scapholeberis,simocephalus
none,0,2018-07-09,4,2,8,22.734295634920635,0,0,20,0,5,11,2,0,0,0
none,0,2018-07-09,4,4,14,22.17141865079365,0,4,24,4,4,36,64,0,4,76
none,0,2018-07-09,4,9,33,22.127480158730158,2,22,24,2,54,12,14,0,24,0
none,0,2018-07-09,4,11,41,21.904999999999998,2,10,6,2,8,30,4,0,16,0
none,0,2018-08-06,8,2,8,25.139652777777776,5,0,4,4,44,28,620,0,36,0
none,0,2018-08-06,8,4,14,24.240714285714287,8,0,68,0,8,0,960,0,140,4
none,0,2018-08-06,8,9,33,24.343720238095237,4,104,8,0,92,12,508,0,40,0
none,0,2018-08-06,8,11,41,24.2890873015873,0,4,7,0,5,0,1328,0,8,0
none,0,2018-09-03,12,2,8,20.659126984126985,8,0,4,0,12,172,476,0,4,0
none,0,2018-09-03,12,4,14,19.483452380952382,2,0,8,8,7,0,11,0,3,0
none,0,2018-09-03,12,9,33,19.914662698412698,16,0,0,2,140,12,1,0,596,0
none,0,2018-09-03,12,11,41,19.880347222222223,5,0,1,6,20,0,146,1,13,0
none,100,2018-07-09,4,2,7,23.674007936507937,0,19,7,0,5,56,159,0,1,0
none,100,2018-07-09,4,4,16,23.17125,0,0,26,0,6,14,24,0,12,0
none,100,2018-07-09,4,9,34,23.19171626984127,0,60,14,0,10,32,72,0,0,0
none,100,2018-07-09,4,11,42,22.952261904761905,2,9,14,4,4,2,2,0,8,0
none,100,2018-08-06,8,2,7,25.793035714285715,12,0,52,0,9,16,2576,0,24,0
none,100,2018-08-06,8,4,16,25.255634920634922,0,2,52,0,16,4,700,0,32,12
none,100,2018-08-06,8,9,34,25.387708333333332,0,20,24,8,24,0,1928,4,20,0
none,100,2018-08-06,8,11,42,25.626825396825396,12,12,12,0,12,8,1164,0,196,4
none,100,2018-09-03,12,2,7,21.16704365079365,2,0,6,0,27,2,567,0,2,0
none,100,2018-09-03,12,4,16,20.785119047619048,4,0,14,0,12,0,70,0,12,0
none,100,2018-09-03,12,9,34,21.06060515873016,5,0,3,1,4,0,5,1,23,0
none,100,2018-09-03,12,11,42,21.039593253968253,8,0,5,0,60,20,180,0,88,0
none,200,2018-07-09,4,2,5,24.384920634920636,0,3,31,5,1,10,962,0,28,0
none,200,2018-07-09,4,4,15,24.132539682539683,0,14,24,6,4,16,170,0,18,0
none,200,2018-07-09,4,9,36,24.092251984126985,0,16,22,2,20,4,312,0,2,0
none,200,2018-07-09,4,11,44,24.234513888888888,3,0,20,2,18,1,0,0,0,1
none,200,2018-08-06,8,2,5,26.886924603174602,6,0,18,1,6,0,118,4,10,0
none,200,2018-08-06,8,4,15,26.534484126984125,8,2,76,0,16,4,1264,0,208,0
none,200,2018-08-06,8,9,36,26.75049603174603,24,0,28,0,68,0,876,4,60,0
none,200,2018-08-06,8,11,44,27.04189484126984,0,0,20,1,88,20,960,8,24,12
none,200,2018-09-03,12,2,5,22.03360119047619,5,0,17,4,10,41,15,1,105,0
none,200,2018-09-03,12,4,15,21.931607142857143,5,0,26,2,20,0,194,0,18,0
none,200,2018-09-03,12,9,36,22.2525,0,0,1,0,588,72,428,0,12,0
none,200,2018-09-03,12,11,44,22.415456349206348,8,0,8,5,10,4,412,5,44,0
none,300,2018-07-09,4,2,6,24.903343253968256,0,29,76,0,4,73,1232,0,0,1
none,300,2018-07-09,4,4,13,24.89689484126984,0,20,28,0,8,28,1752,0,4,0
none,300,2018-07-09,4,9,35,25.100525793650792,0,4,21,0,8,49,9,0,12,8
none,300,2018-07-09,4,11,43,25.366041666666668,8,16,16,0,0,228,580,0,28,0
none,300,2018-08-06,8,2,6,27.544126984126983,4,0,20,0,48,0,1320,0,32,0
none,300,2018-08-06,8,4,13,27.391716269841268,0,0,156,0,32,0,2056,0,160,0
none,300,2018-08-06,8,9,35,27.96654761904762,4,0,16,0,12,0,360,4,0,12
none,300,2018-08-06,8,11,43,28.254414682539682,1,0,20,0,8,0,992,0,40,8
none,300,2018-09-03,12,2,6,22.78767857142857,1,0,24,12,44,252,448,16,36,0
none,300,2018-09-03,12,4,13,22.806200396825396,2,0,7,1,38,16,12,2,199,0
none,300,2018-09-03,12,9,35,23.389484126984126,9,0,20,0,16,564,296,2,556,0
none,300,2018-09-03,12,11,43,23.720585317460316,4,0,36,0,8,0,300,4,52,0
low,0,2018-07-09,4,3,9,22.531121031746032,0,57,8,0,5,15,172,0,15,0
low,0,2018-07-09,4,5,17,22.613055555555555,0,98,10,0,58,32,150,0,2,0
low,0,2018-07-09,4,7,28,22.778968253968255,2,2,18,8,2,82,32,2,44,0
low,0,2018-07-09,4,12,47,22.51922619047619,1,33,30,0,2,24,2,0,0,0
low,0,2018-08-06,8,3,9,24.983105158730158,12,12,4,0,12,8,1248,0,16,4
low,0,2018-08-06,8,5,17,24.770238095238096,8,0,20,0,88,4,984,0,28,0
low,0,2018-08-06,8,7,28,25.467876984126985,12,0,44,0,32,8,1604,0,32,4
low,0,2018-08-06,8,12,47,25.040714285714287,8,8,20,1,28,8,724,0,12,16
low,0,2018-09-03,12,3,9,20.154424603174604,0,0,1,0,16,0,436,0,4,0
low,0,2018-09-03,12,5,17,20.071289682539682,3,1,5,1,35,1,250,0,11,0
low,0,2018-09-03,12,7,28,20.56142857142857,0,0,4,2,30,4,146,0,42,0
low,0,2018-09-03,12,12,47,20.263373015873015,2,3,2,0,2,2,122,2,2,0
low,100,2018-07-09,4,3,10,23.420694444444443,0,0,24,8,8,56,26,0,0,0
low,100,2018-07-09,4,5,18,23.087063492063493,0,0,34,0,22,8,14,0,2,0
low,100,2018-07-09,4,7,27,23.790406746031746,2,20,13,2,67,13,49,0,5,0
low,100,2018-07-09,4,12,45,23.399761904761903,2,9,21,1,25,0,17,0,2,0
low,100,2018-08-06,8,3,10,26.066031746031747,0,0,28,3,40,0,588,0,64,4
low,100,2018-08-06,8,5,18,25.43145833333333,4,0,16,0,32,12,176,0,40,0
low,100,2018-08-06,8,7,27,26.747599206349207,4,0,68,8,72,0,1572,0,12,0
low,100,2018-08-06,8,12,45,26.055982142857143,8,1,4,4,1,1,348,0,64,0
low,100,2018-09-03,12,3,10,21.105863095238096,4,0,0,0,69,2,445,0,22,0
low,100,2018-09-03,12,5,18,20.947609126984126,2,0,3,1,15,6,228,0,7,0
low,100,2018-09-03,12,7,27,21.561190476190475,0,0,1,0,40,28,744,4,24,0
low,100,2018-09-03,12,12,45,21.317271825396826,0,0,16,4,12,0,292,16,16,0
low,200,2018-07-09,4,3,12,24.61577380952381,4,52,32,1,4,25,440,0,8,0
low,200,2018-07-09,4,5,20,24.058958333333333,1,0,28,2,14,4,16,0,18,0
low,200,2018-07-09,4,7,25,24.27717261904762,0,5,28,4,24,0,468,0,0,0
low,200,2018-07-09,4,12,46,24.15373015873016,4,6,5,0,2,5,2,0,0,0
low,200,2018-08-06,8,3,12,27.30001984126984,10,0,44,4,24,0,1884,0,8,0
low,200,2018-08-06,8,5,20,26.754295634920634,8,0,4,12,64,0,1140,13,16,0
low,200,2018-08-06,8,7,25,27.299146825396825,4,0,48,24,56,0,1988,4,212,0
low,200,2018-08-06,8,12,46,26.99484126984127,16,0,72,16,32,0,1344,4,12,4
low,200,2018-09-03,12,3,12,22.618521825396826,4,0,12,0,44,440,1112,5,196,0
low,200,2018-09-03,12,5,20,22.02356150793651,4,0,11,1,36,0,38,1,0,0
low,200,2018-09-03,12,7,25,22.22654761904762,2,0,10,2,18,2,56,0,3,0
low,200,2018-09-03,12,12,46,22.20342261904762,4,0,34,0,4,10,2,12,4,0
low,300,2018-07-09,4,3,11,25.62203373015873,9,0,32,0,24,4,788,0,8,0
low,300,2018-07-09,4,5,19,24.820585317460317,0,68,24,1,68,5,644,0,8,0
low,300,2018-07-09,4,7,26,25.34044642857143,1,2,64,4,4,24,216,0,16,0
low,300,2018-07-09,4,12,48,25.293511904761903,1,7,25,1,1,31,2194,0,1,0
low,300,2018-08-06,8,3,11,28.22640873015873,0,1,40,4,0,0,1048,0,0,1
low,300,2018-08-06,8,5,19,27.598382936507935,16,0,24,0,32,1,412,0,60,0
low,300,2018-08-06,8,7,26,28.317916666666665,0,0,28,0,4,0,2056,0,8,0
low,300,2018-08-06,8,12,48,28.42625,1,0,60,9,40,0,1484,4,4,64
low,300,2018-09-03,12,3,11,23.459930555555555,7,0,8,8,7,0,1084,0,84,0
low,300,2018-09-03,12,5,19,22.977063492063493,6,0,20,0,10,48,14,0,50,0
low,300,2018-09-03,12,7,26,23.407797619047617,8,0,12,0,30,92,576,16,80,0
low,300,2018-09-03,12,12,48,23.91407738095238,4,0,12,16,20,60,2228,72,0,0
high,0,2018-07-09,4,1,3,22.865248015873014,0,2,26,0,0,9,87,0,1,0
high,0,2018-07-09,4,6,23,22.444771825396828,3,6,15,5,24,5,6,0,4,0
high,0,2018-07-09,4,8,31,22.07936507936508,2,12,10,0,16,20,28,0,2,0
high,0,2018-07-09,4,10,40,22.361140873015874,2,4,13,8,15,58,28,0,0,0
high,0,2018-08-06,8,1,3,25.068244047619046,12,0,4,1,8,8,1412,4,176,0
high,0,2018-08-06,8,6,23,25.005704365079364,12,0,68,0,20,0,848,4,32,0
high,0,2018-08-06,8,8,31,24.223710317460316,0,56,4,4,96,8,500,0,48,0
high,0,2018-08-06,8,10,40,25.18472222222222,0,0,32,1,104,20,536,0,4,0
high,0,2018-09-03,12,1,3,20.12751984126984,2,0,10,4,3,28,307,1,73,0
high,0,2018-09-03,12,6,23,20.156031746031747,0,0,1,0,40,0,142,0,82,0
high,0,2018-09-03,12,8,31,19.77625992063492,22,4,2,2,22,8,20,0,74,0
high,0,2018-09-03,12,10,40,20.527420634920635,12,0,1,3,1368,0,28,4,24,0
high,100,2018-07-09,4,1,1,23.627420634920636,2,6,8,1,0,1,8,0,0,0
high,100,2018-07-09,4,6,21,23.682311507936507,2,78,14,2,6,38,50,0,4,0
high,100,2018-07-09,4,8,29,23.131329365079367,4,8,30,3,6,10,170,2,4,0
high,100,2018-07-09,4,10,39,23.41863095238095,2,18,22,4,44,116,60,0,4,0
high,100,2018-08-06,8,1,1,26.280704365079366,2,0,32,16,72,4,1348,0,24,0
high,100,2018-08-06,8,6,21,26.26656746031746,8,0,16,4,28,0,1848,8,16,0
high,100,2018-08-06,8,8,29,25.44517857142857,0,0,32,6,32,16,3012,4,40,0
high,100,2018-08-06,8,10,39,25.88973214285714,4,4,24,8,72,0,1192,0,12,0
high,100,2018-09-03,12,1,1,21.215882936507935,4,0,9,10,9,0,614,0,7,0
high,100,2018-09-03,12,6,21,21.36095238095238,2,0,0,0,52,5,184,0,38,0
high,100,2018-09-03,12,8,29,20.72450396825397,4,1,6,3,53,17,96,0,121,0
high,100,2018-09-03,12,10,39,21.46310515873016,4,0,4,28,652,0,844,0,0,0
high,200,2018-07-09,4,1,2,24.093789682539683,0,20,3,3,1,14,87,0,2,0
high,200,2018-07-09,4,6,22,24.378809523809522,8,72,24,2,28,16,672,0,12,0
high,200,2018-07-09,4,8,30,23.975664682539684,0,8,32,2,60,62,138,2,0,0
high,200,2018-07-09,4,10,37,24.32873015873016,4,12,36,2,58,4,68,2,6,68
high,200,2018-08-06,8,1,2,26.762966269841268,9,0,12,0,36,0,2328,0,4,0
high,200,2018-08-06,8,6,22,27.03093253968254,4,0,60,12,108,0,1108,8,48,0
high,200,2018-08-06,8,8,30,26.454464285714288,0,4,40,8,16,0,2508,4,4,0
high,200,2018-08-06,8,10,37,27.057599206349206,0,0,4,8,100,4,2216,16,0,0
high,200,2018-09-03,12,1,2,22.015416666666667,3,0,8,1,11,4,201,0,33,0
high,200,2018-09-03,12,6,22,22.510843253968254,0,0,2,0,132,1,334,0,7,0
high,200,2018-09-03,12,8,30,22.005902777777777,32,4,4,24,180,4,20,12,444,0
high,200,2018-09-03,12,10,37,22.331319444444443,4,0,4,5,148,4,48,0,1,0
high,300,2018-07-09,4,1,4,24.94987103174603,1,4,6,6,9,14,253,0,0,0
high,300,2018-07-09,4,6,24,25.477698412698413,0,28,44,0,13,96,1384,0,4,0
high,300,2018-07-09,4,8,32,24.990882936507937,0,88,64,5,8,68,3764,0,0,0
high,300,2018-07-09,4,10,38,25.032410714285714,4,7,24,0,32,28,744,0,0,0
high,300,2018-08-06,8,1,4,27.617073412698414,4,0,64,8,16,0,1092,0,148,0
high,300,2018-08-06,8,6,24,28.401289682539684,4,0,64,8,276,0,1684,20,140,0
high,300,2018-08-06,8,8,32,27.683065476190475,17,0,20,12,9,0,552,1,24,0
high,300,2018-08-06,8,10,38,28.07482142857143,12,4,56,0,196,0,844,0,4,0
high,300,2018-09-03,12,1,4,22.868938492063492,0,0,28,1,8,40,672,4,148,0
high,300,2018-09-03,12,6,24,23.835039682539684,4,0,4,4,296,20,292,2,40,0
high,300,2018-09-03,12,8,32,23.32918650793651,6,0,6,1,22,0,68,8,92,0
high,300,2018-09-03,12,10,38,23.569107142857142,32,0,16,4,396,4,100,0,16,0
